nr_dpus,input_size,transfer_type,nr_tasklets,variable_type,interactor_type,nr_instructions,dpu_kernel_time
16,2048,PARALLEL,1,INT64,ZERO_TASKLET_COLLECTION,1088,1.244
16,2048,PARALLEL,1,INT64,SINGLE_TASKLET,1072,1.989
16,2048,PARALLEL,1,INT64,TREE_BASED_BARRIERS,1104,1.288
16,2048,PARALLEL,1,INT64,TREE_BASED_HANDSHAKES,1104,1.3
16,2048,PARALLEL,1,INT64,MUTEX,1088,1.297
16,16384,PARALLEL,1,INT64,ZERO_TASKLET_COLLECTION,8480,7.346
16,16384,PARALLEL,1,INT64,SINGLE_TASKLET,8464,3.852
16,16384,PARALLEL,1,INT64,TREE_BASED_BARRIERS,8496,3.639
16,16384,PARALLEL,1,INT64,TREE_BASED_HANDSHAKES,8496,3.382
16,16384,PARALLEL,1,INT64,MUTEX,8480,3.43
16,262144,PARALLEL,1,INT64,ZERO_TASKLET_COLLECTION,135200,43.792
16,262144,PARALLEL,1,INT64,SINGLE_TASKLET,135184,46.142
16,262144,PARALLEL,1,INT64,TREE_BASED_BARRIERS,135216,43.858
16,262144,PARALLEL,1,INT64,TREE_BASED_HANDSHAKES,135216,48.652
16,262144,PARALLEL,1,INT64,MUTEX,135200,51.899
